[2022-09-11 19:31:28,633] [autoreload.py:637] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2022-09-11 19:32:01,001] [basehttp.py:161] [basehttp:log_message] [INFO]- "GET / HTTP/1.1" 200 6021
[2022-09-11 19:32:01,302] [basehttp.py:161] [basehttp:log_message] [INFO]- "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3385
[2022-09-11 19:32:01,303] [basehttp.py:161] [basehttp:log_message] [INFO]- "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
[2022-09-11 19:32:01,315] [basehttp.py:161] [basehttp:log_message] [INFO]- "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1719
[2022-09-11 19:32:01,318] [basehttp.py:161] [basehttp:log_message] [INFO]- "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
[2022-09-11 19:32:01,318] [basehttp.py:161] [basehttp:log_message] [INFO]- "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
[2022-09-11 19:32:01,323] [basehttp.py:161] [basehttp:log_message] [INFO]- "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
[2022-09-11 19:32:01,323] [basehttp.py:161] [basehttp:log_message] [INFO]- "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
[2022-09-11 19:32:01,332] [basehttp.py:161] [basehttp:log_message] [INFO]- "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3597
[2022-09-11 19:32:01,333] [basehttp.py:161] [basehttp:log_message] [INFO]- "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
[2022-09-11 19:32:01,336] [basehttp.py:161] [basehttp:log_message] [INFO]- "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
[2022-09-11 19:32:01,601] [basehttp.py:161] [basehttp:log_message] [INFO]- "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
[2022-09-11 19:32:02,068] [log.py:224] [log:log_response] [WARNING]- Not Found: /favicon.ico
[2022-09-11 19:32:02,068] [basehttp.py:161] [basehttp:log_message] [WARNING]- "GET /favicon.ico HTTP/1.1" 404 9499
[2022-09-11 19:32:07,270] [basehttp.py:161] [basehttp:log_message] [INFO]- "GET /pack/ HTTP/1.1" 200 244195
[2022-09-11 19:32:07,545] [basehttp.py:161] [basehttp:log_message] [INFO]- "GET /static/rest_framework/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
[2022-09-11 19:32:21,206] [basehttp.py:161] [basehttp:log_message] [INFO]- "GET / HTTP/1.1" 200 6021
[2022-09-11 19:32:27,385] [basehttp.py:161] [basehttp:log_message] [INFO]- "GET /home/ HTTP/1.1" 200 11387
[2022-09-11 19:32:49,323] [log.py:224] [log:log_response] [WARNING]- Not Found: /favicon.ico
[2022-09-11 19:32:49,324] [basehttp.py:161] [basehttp:log_message] [WARNING]- "GET /favicon.ico HTTP/1.1" 404 9499
[2022-09-11 19:32:49,922] [log.py:224] [log:log_response] [WARNING]- Not Found: /favicon.ico
[2022-09-11 19:32:49,923] [basehttp.py:161] [basehttp:log_message] [WARNING]- "GET /favicon.ico HTTP/1.1" 404 9499
[2022-09-11 19:32:50,047] [basehttp.py:161] [basehttp:log_message] [INFO]- "GET /home/1 HTTP/1.1" 301 0
[2022-09-11 19:32:50,208] [basehttp.py:161] [basehttp:log_message] [INFO]- "GET /home/1/ HTTP/1.1" 200 12329
[2022-09-11 19:33:13,340] [basehttp.py:161] [basehttp:log_message] [INFO]- "GET /home/ HTTP/1.1" 200 11387
[2022-09-11 19:33:15,115] [basehttp.py:161] [basehttp:log_message] [INFO]- "GET / HTTP/1.1" 200 6021
